isocode,country,rugged,cont,contIsAfrica,gdppc
SWE,Sweden,0.715,Europe,0,25899.88
JPN,Japan,2.132,Asia,0,26219.79
GBR,United Kingdom of Great Britain and Northern Ireland,0.568,Europe,0,26332.05
CAN,Canada,0.775,North America,0,27289.26
BEL,Belgium,0.388,Europe,0,27302.99
NLD,Netherlands,0.037,Europe,0,28610.12
DNK,Denmark,0.189,Europe,0,28750.61
ISL,Iceland,1.472,Europe,0,28929.43
AUT,Austria,3.513,Europe,0,28987.84
CHE,Switzerland,4.761,Europe,0,30161.29
IRL,Ireland,0.513,Europe,0,30532.31
USA,United States of America,1.073,North America,0,33970.17
NOR,Norway,2.409,Europe,0,34207.82
LUX,Luxembourg,0.881,Europe,0,57792.09
